"location","location2","location3","location4","lon_google","lat_google"
"North Carolina/Florida/N.J.","North Carolina/Florida/N.J.","North Carolina Florida N J ","North Carolina Florida N J",-79.0192997,35.7595731
"The Twilight Zone","The Twilight Zone","The Twilight Zone","The Twilight Zone",-81.5599278,28.3600612
"Your mom’s basement","Your mom’s basement","Your mom s basement","Your mom s basement",-93.0598032,45.0806784
"San Jose, CA","San Jose, CA","San Jose  CA","San Jose  CA",-121.8863286,37.3382082
"Bowels of Hell. (USA)","Bowels of Hell. (USA)","Bowels of Hell   USA ","Bowels of Hell   USA",,
"Clearwater Florida","Clearwater Florida","Clearwater Florida","Clearwater Florida",-82.8001026,27.9658533
"Kekistan, Montréal, Québec","Kekistan, Montréal, Québec","Kekistan  Montréal  Québec","Kekistan  Montréal  Québec",-73.567256,45.5016889
"ukrane","ukrane","ukrane","ukrane",31.1655799,48.379433
"Farmville, TX","Farmville, TX","Farmville  TX","Farmville  TX",-96.3599821,33.1634493
"Near Ft Eustis Va.","Near Ft Eustis Va.","Near Ft Eustis Va ","Near Ft Eustis Va",-76.5775744,37.1525136
"Upper Left Tenderloin","Upper Left Tenderloin","Upper Left Tenderloin","Upper Left Tenderloin",,
"The Great State of Texas","The Great State of Texas","The Great State of Texas","The Great State of Texas",,
"Voie de Torsion","Voie de Torsion","Voie de Torsion","Voie de Torsion",,
"Concord Bridge, MA","Concord Bridge, MA","Concord Bridge  MA","Concord Bridge  MA",-71.3506554,42.4690328
"Tokyo-to, Japan","Tokyo-to, Japan","Tokyo to  Japan","Tokyo to  Japan",,
"itinerant, 4 corners area","itinerant, 4 corners area","itinerant  4 corners area","itinerant  4 corners area",,
"naag isku fiilian ","naag isku fiilian ","naag isku fiilian ","naag isku fiilian",,
"Katihar, bihar, India","Katihar, bihar, India","Katihar  bihar  India","Katihar  bihar  India",87.5591073,25.5540648
"My Bug Out Spot","My Bug Out Spot","My Bug Out Spot","My Bug Out Spot",,
"Washington D.C.","Washington D.C.","Washington D C ","Washington D C",-77.0368707,38.9071923
"Photic zone","Photic zone","Photic zone","Photic zone",,
"Website","Website","Website","Website",-95.787089,37.0120149
"Hobart, Tasmania, Australia","Hobart, Tasmania, Australia","Hobart  Tasmania  Australia","Hobart  Tasmania  Australia",147.3271949,-42.8821377
"Coastal, New South Wales","Coastal, New South Wales","Coastal  New South Wales","Coastal  New South Wales",149.6564494,-36.6806101
"Goole, England","Goole, England","Goole  England","Goole  England",-0.876381,53.702941
"Birmingham","Birmingham","Birmingham","Birmingham",-86.8103567,33.5185892
"SUNSHINE STATE","SUNSHINE STATE","SUNSHINE STATE","SUNSHINE STATE",-81.5157535,27.6648274
"Cuddapah","Cuddapah","Cuddapah","Cuddapah",78.8242089,14.4673154
"York, England","York, England","York  England","York  England",-1.0872979,53.9599651
"New Hampshire","New Hampshire","New Hampshire","New Hampshire",-71.5723953,43.1938516
"South Pacific Paradise","South Pacific Paradise","South Pacific Paradise","South Pacific Paradise",-122.836612,42.289028
"Vikhroli East, Mumbai","Vikhroli East, Mumbai","Vikhroli East  Mumbai","Vikhroli East  Mumbai",72.9357502,19.1141602
"Land of Brave","Land of Brave","Land of Brave","Land of Brave",,
"Na h-Eileanan Siar, Alba ","Na h-Eileanan Siar, Alba ","Na h Eileanan Siar  Alba ","Na h Eileanan Siar  Alba",-7.0194034,57.7598918
"Africa","Africa","Africa","Africa",34.508523,-8.783195
"Bangalore","Bangalore","Bangalore","Bangalore",77.5945627,12.9715987
"Winnetka, Los Angeles","Winnetka, Los Angeles","Winnetka  Los Angeles","Winnetka  Los Angeles",-118.5739621,34.2048586
"Floyd County, KY","Floyd County, KY","Floyd County  KY","Floyd County  KY",-82.7778579,37.5455463
"AMERICA","AMERICA","AMERICA","AMERICA",-95.712891,37.09024
"at least 6 feet away","at least 6 feet away","at least 6 feet away","at least 6 feet away",,
"7th level of hell, Clown World","7th level of hell, Clown ","7th level of hell  Clown ","7th level of hell  Clown",,
"Austin, Tx","Austin, Tx","Austin  Tx","Austin  Tx",-97.7430608,30.267153
"Fort Collins, CO","Fort Collins, CO","Fort Collins  CO","Fort Collins  CO",-105.084423,40.5852602
"Oklahoma City, OK","Oklahoma City, OK","Oklahoma City  OK","Oklahoma City  OK",-97.5164276,35.4675602
"MINNESOTA ","MINNESOTA ","MINNESOTA ","MINNESOTA",-94.6858998,46.729553
"Silicon Valley ","Silicon Valley ","Silicon Valley ","Silicon Valley",-122.0575434,37.387474
"I am not affiliated w/pk in CO","I am not affiliated w/pk in CO","I am not affiliated w pk in CO","I am not affiliated w pk in CO",-105.7820674,39.5500507
"Internet People","Internet People","Internet People","Internet People",,
"Liberal Hell, WA","Liberal Hell, WA","Liberal Hell  WA","Liberal Hell  WA",-120.7401385,47.7510741
"FREE BOOK. ""Revolution: Ice Age Re-Entry"" Click link.","FREE BOOK. ""Revolution: Ice Age Re-Entry"" Click link.","FREE BOOK   Revolution  Ice Age Re Entry  Click link ","FREE BOOK   Revolution  Ice Age Re Entry  Click link",,
"+Ultra","+Ultra","+Ultra","+Ultra",-95.9023327,36.0164912
"To study the world.","To study the .","To study the  ","To study the",,
"Modern World","Modern ","Modern ","Modern",-73.976753,40.761081
"Vlaamse Rand rond Brussel","Vlaamse Rand rond Brussel","Vlaamse Rand rond Brussel","Vlaamse Rand rond Brussel",4.3517103,50.8503396
"Walking my dogs.","Walking my dogs.","Walking my dogs ","Walking my dogs",-85.6320688,42.9703251
"Calgary, Canada","Calgary, Canada","Calgary  Canada","Calgary  Canada",-114.0718831,51.0447331
"Utkal, Bharat","Utkal, Bharat","Utkal  Bharat","Utkal  Bharat",,
"Uganda","Uganda","Uganda","Uganda",32.290275,1.373333
"Scottsdale, AZ","Scottsdale, AZ","Scottsdale  AZ","Scottsdale  AZ",-111.9260519,33.4941704
"Richmond, VA","Richmond, VA","Richmond  VA","Richmond  VA",-77.4360481,37.5407246
"South Texas, USA","South Texas, USA","South Texas  USA","South Texas  USA",-99.9018131,31.9685988
"British Columbia, Canada","British Columbia, Canada","British Columbia  Canada","British Columbia  Canada",-127.6476205,53.7266683
"Universal Omnipotence","Universal Omnipotence","Universal Omnipotence","Universal Omnipotence",,
"ny","ny","ny","ny",-74.0059728,40.7127753
"A dystopian nightmare","A dystopian nightmare","A dystopian nightmare","A dystopian nightmare",,
"your nightmare","your nightmare","your nightmare","your nightmare",,
"Edge of the Civilized World","Edge of the Civilized ","Edge of the Civilized ","Edge of the Civilized",,
"India to Japan","India to Japan","India to Japan","India to Japan",,
"New Zealand / Zimbabwe","New Zealand / Zimbabwe","New Zealand   Zimbabwe","New Zealand   Zimbabwe",31.0943904,-17.7933803
"Bologna","Bologna","Bologna","Bologna",11.3426162,44.494887
"lower Slobovia","lower Slobovia","lower Slobovia","lower Slobovia",,
"USA Patriot","USA Patriot","USA Patriot","USA Patriot",-98.39033,34.6038435
"Westlake Village, CA","Westlake Village, CA","Westlake Village  CA","Westlake Village  CA",-118.8073729,34.1466467
"Panopticon, USA","Panopticon, USA","Panopticon  USA","Panopticon  USA",,
"Limbabwanesia","Limbabwanesia","Limbabwanesia","Limbabwanesia",,
"Shining City on the Hill","Shining City on the Hill","Shining City on the Hill","Shining City on the Hill",,
"Arlington, VA","Arlington, VA","Arlington  VA","Arlington  VA",-77.1067698,38.8799697
"Sparwood, British Columbia","Sparwood, British Columbia","Sparwood  British Columbia","Sparwood  British Columbia",-114.8796552,49.7344685
"Constitutional Republic USA","Constitutional Republic USA","Constitutional Republic USA","Constitutional Republic USA",-95.712891,37.09024
"In your mind","In your mind","In your mind","In your mind",-80.326197,25.904799
"Blacksburg, VA","Blacksburg, VA","Blacksburg  VA","Blacksburg  VA",-80.4139393,37.2295733
"Cairo, Egypt ","Cairo, Egypt ","Cairo  Egypt ","Cairo  Egypt",31.2357116,30.0444196
"Rumford, Maine","Rumford, Maine","Rumford  Maine","Rumford  Maine",-70.5508829,44.5536606
"Hungary","Hungary","Hungary","Hungary",19.5033041,47.162494
"Millington, Mi","Millington, Mi","Millington  Mi","Millington  Mi",-83.5296774,43.2814132
"Buckeye AZ","Buckeye AZ","Buckeye AZ","Buckeye AZ",-112.5837766,33.3703197
"Hades","Hades","Hades","Hades",,
"Coventry, CT","Coventry, CT","Coventry  CT","Coventry  CT",-72.3393021,41.78468
"FL U.S.A.","FL U.S.A.","FL U S A ","FL U S A",-81.5157535,27.6648274
"Kekistan","Kekistan","Kekistan","Kekistan",,
"Edinburgh","Edinburgh","Edinburgh","Edinburgh",-3.188267,55.953252
"Minnesota.","Minnesota.","Minnesota ","Minnesota",-94.6858998,46.729553
"China, Hubei","China, Hubei","China  Hubei","China  Hubei",112.2384017,30.7378118
"Eastbourne, UK","Eastbourne, UK","Eastbourne  UK","Eastbourne  UK",0.290472,50.768035
"Arda","Arda","Arda","Arda",-87.6674371,41.8880538
"Chile ","Chile ","Chile ","Chile",-71.542969,-35.675147
"Parts unknown","Parts unknown","Parts unknown","Parts unknown",-97.3322299,32.7541798
"Cheshire, CT","Cheshire, CT","Cheshire  CT","Cheshire  CT",-72.9106202,41.5083668
"Ahmadabad City, India","Ahmadabad City, India","Ahmadabad City  India","Ahmadabad City  India",72.5713621,23.022505
"Punjab India","Punjab India","Punjab India","Punjab India",75.3412179,31.1471305
"Hangar","Hangar","Hangar","Hangar",-97.4118139,37.6715972
"SC","SC","SC","SC",-81.1637245,33.836081
"BBSR, Odisha, India","BBSR, Odisha, India","BBSR  Odisha  India","BBSR  Odisha  India",85.8245398,20.2960587
"Lucknow, India","Lucknow, India","Lucknow  India","Lucknow  India",80.946166,26.8466937
"Iloilo City","Iloilo City","Iloilo City","Iloilo City",122.5621063,10.7201501
"Ahmedabad","Ahmedabad","Ahmedabad","Ahmedabad",72.5713621,23.022505
"Jalingo, Nigeria","Jalingo, Nigeria","Jalingo  Nigeria","Jalingo  Nigeria",11.3771496,8.8928524
"Mumbai..","Mumbai..","Mumbai  ","Mumbai",72.8776559,19.0759837
"11°41'50<U+2033>N 165°16'19<U+2033>E","11°41'50E","11°41 50E","11°41 50E",,
"United States of AmericaOld en","United States of AmericaOld en","United States of AmericaOld en","United States of AmericaOld en",,
"La La Land<U+0001F92A>","La La Land","La La Land","La La Land",-96.7711675,32.8152643
"Network Anomaly","Network Anomaly","Network Anomaly","Network Anomaly",,
"Atlanta, Georgia USA","Atlanta, Georgia USA","Atlanta  Georgia USA","Atlanta  Georgia USA",-84.3879824,33.7489954
"Tustin, CA","Tustin, CA","Tustin  CA","Tustin  CA",-117.8236391,33.7420005
"New Zealand","New Zealand","New Zealand","New Zealand",174.885971,-40.900557
"CANADA","CANADA","CANADA","CANADA",-106.346771,56.130366
"Davao, Philippines","Davao, Philippines","Davao  Philippines","Davao  Philippines",125.455341,7.190708
"Jakarta, Indonesia","Jakarta, Indonesia","Jakarta  Indonesia","Jakarta  Indonesia",106.845599,-6.2087634
"San Antonio, TX","San Antonio, TX","San Antonio  TX","San Antonio  TX",-98.4936282,29.4241219
"North Concord Bridge 01775","North Concord Bridge 01775","North Concord Bridge 01775","North Concord Bridge 01775",-71.3506554,42.4690328
"FUCK YOU, I'M DEAD!","FUCK YOU, I'M DEAD!","FUCK YOU  I M DEAD ","FUCK YOU  I M DEAD",,
"Rajahmundry, Andhra Pradesh","Rajahmundry, Andhra Pradesh","Rajahmundry  Andhra Pradesh","Rajahmundry  Andhra Pradesh",81.8040345,17.0005383
"Washington D.C","Washington D.C","Washington D C","Washington D C",-77.0368707,38.9071923
"lagos","lagos","lagos","lagos",3.3792057,6.5243793
"Milwaukee, WI","Milwaukee, WI","Milwaukee  WI","Milwaukee  WI",-87.9064736,43.0389025
"Sanctuary State of CA","Sanctuary State of CA","Sanctuary State of CA","Sanctuary State of CA",-121.9279355,36.5373847
"The Mirror Realm","The Mirror Realm","The Mirror Realm","The Mirror Realm",,
"The great state of Texas","The great state of Texas","The great state of Texas","The great state of Texas",,
"Anonymous concrete hell","Anonymous concrete hell","Anonymous concrete hell","Anonymous concrete hell",,
"USA and Germany","USA and Germany","USA and Germany","USA and Germany",,
"Carson City, NV","Carson City, NV","Carson City  NV","Carson City  NV",-119.7674034,39.1637984
"Mulund, Mumbai, India","Mulund, Mumbai, India","Mulund  Mumbai  India","Mulund  Mumbai  India",72.942537,19.1725542
"Staten Island, NY","Staten Island, NY","Staten Island  NY","Staten Island  NY",-74.1502007,40.5795317
"Chandigarh, India","Chandigarh, India","Chandigarh  India","Chandigarh  India",76.7794179,30.7333148
"Delhi, India","Delhi, India","Delhi  India","Delhi  India",77.1024902,28.7040592
"1 of the 13 Colonies","1 of the 13 Colonies","1 of the 13 Colonies","1 of the 13 Colonies",-95.712891,37.09024
"alaska","alaska","alaska","alaska",-149.4936733,64.2008413
"Jedburgh, Scotland","Jedburgh, Scotland","Jedburgh  Scotland","Jedburgh  Scotland",-2.5549369,55.477721
"I know NOW  were are you","I know NOW  were are you","I know NOW  were are you","I know NOW  were are you",,
"Parbhani Maharashtra","Parbhani Maharashtra","Parbhani Maharashtra","Parbhani Maharashtra",76.774776,19.2608384
"Ibadan, Nigeria","Ibadan, Nigeria","Ibadan  Nigeria","Ibadan  Nigeria",3.9470396,7.3775355
"Ranipur, India","Ranipur, India","Ranipur  India","Ranipur  India",79.061719,25.2512993
"Tuscaloosa, AL","Tuscaloosa, AL","Tuscaloosa  AL","Tuscaloosa  AL",-87.5691735,33.2098407
"Monroeville, PA","Monroeville, PA","Monroeville  PA","Monroeville  PA",-79.7881024,40.4211798
"Ceded Laurentide Icesheet Land","Ceded Laurentide Icesheet Land","Ceded Laurentide Icesheet Land","Ceded Laurentide Icesheet Land",,
"Stretford End","Stretford End","Stretford End","Stretford End",-77.4695636,43.0461515
"Noida, India","Noida, India","Noida  India","Noida  India",77.3910265,28.5355161
"Wyoming, USA","Wyoming, USA","Wyoming  USA","Wyoming  USA",-107.2902839,43.0759678
"Patna, India","Patna, India","Patna  India","Patna  India",85.1375645,25.5940947
"South West London","South West London","South West London","South West London",-0.1277583,51.5073509
"H<U+1ED3> Chí Minh, Vi<U+1EC7>t Nam","Ht Nam","Ht Nam","Ht Nam",,
"The Other Side of everything","The Other Side of everything","The Other Side of everything","The Other Side of everything",,
"Exceptional Land <U+0001F1FA><U+0001F1F8>
","Exceptional Land 
","Exceptional Land 
","Exceptional Land",,
"Hilton Head Island, SC","Hilton Head Island, SC","Hilton Head Island  SC","Hilton Head Island  SC",-80.752608,32.216316
"OH-IO ","OH-IO ","OH IO ","OH IO",-82.907123,40.4172871
"Waltham, MA","Waltham, MA","Waltham  MA","Waltham  MA",-71.2356113,42.3764852
"Bengaluru, India","Bengaluru, India","Bengaluru  India","Bengaluru  India",77.5945627,12.9715987
"Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda",-61.796428,17.060816
"Simpsonville, SC","Simpsonville, SC","Simpsonville  SC","Simpsonville  SC",-82.2542834,34.7370639
"Elk Grove, Golden State","Elk Grove, Golden State","Elk Grove  Golden State","Elk Grove  Golden State",-121.3716178,38.4087993
"Northport, NY","Northport, NY","Northport  NY","Northport  NY",-73.3431727,40.9009313
"Dehri, Rohtas, Bihar, India.","Dehri, Rohtas, Bihar, India.","Dehri  Rohtas  Bihar  India ","Dehri  Rohtas  Bihar  India",84.191193,24.9061239
"Bhubaneshwar, India","Bhubaneshwar, India","Bhubaneshwar  India","Bhubaneshwar  India",85.8245398,20.2960587
"F.C.T. Abuja","F.C.T. Abuja","F C T  Abuja","F C T  Abuja",7.398574,9.0764785
"Loading... ","Loading... ","Loading    ","Loading",,
"Chicago,IL 60643","Chicago,IL 60643","Chicago IL 60643","Chicago IL 60643",-87.6538017,41.6773775
"Indiana, USA","Indiana, USA","Indiana  USA","Indiana  USA",-86.1349019,40.2671941
"Maine, USA","Maine, USA","Maine  USA","Maine  USA",-69.4454689,45.253783
"Markham, Ontario","Markham, Ontario","Markham  Ontario","Markham  Ontario",-79.3370188,43.8561002
"Southeastern, FL","Southeastern, FL","Southeastern  FL","Southeastern  FL",-81.9179961,28.0301306
"Hackney, London","Hackney, London","Hackney  London","Hackney  London",-0.0724376,51.573445
"Honeymoon Avenue | Nashville<U+0001F4CD>","Honeymoon Avenue | Nashville","Honeymoon Avenue | Nashville","Honeymoon Avenue | Nashville",-86.7816016,36.1626638
"Gulf City, TX","Gulf City, TX","Gulf City  TX","Gulf City  TX",-94.8371634,29.2727205
"Dubai","Dubai","Dubai","Dubai",55.2707828,25.2048493
"In motion","In motion","In motion","In motion",-94.1655036,36.0682042
"Glasgow, Scotland","Glasgow, Scotland","Glasgow  Scotland","Glasgow  Scotland",-4.251806,55.864237
"Hidden cabin in far Northwoods","Hidden cabin in far Northwoods","Hidden cabin in far Northwoods","Hidden cabin in far Northwoods",,
"Inchea","Inchea","Inchea","Inchea",,
"Italy","Italy","Italy","Italy",12.56738,41.87194
", Colorado, US",", Colorado, US","  Colorado  US","Colorado  US",-105.7820674,39.5500507
"Indiana's 9th District","Indiana's 9th District","Indiana s 9th District","Indiana s 9th District",-86.0937312,38.7554745
"Ashburn, VA","Ashburn, VA","Ashburn  VA","Ashburn  VA",-77.4874416,39.0437567
"Bengaluru South, India","Bengaluru South, India","Bengaluru South  India","Bengaluru South  India",77.5945627,12.9715987
"Great Britain","Great Britain","Great Britain","Great Britain",-2.4290148,53.8337367
"Taipei City, Taiwan","Taipei City, Taiwan","Taipei City  Taiwan","Taipei City  Taiwan",121.5654177,25.0329694
"Your mom's down comforter","Your mom's down comforter","Your mom s down comforter","Your mom s down comforter",,
"Hausen bei Würzburg, Deutschla","Hausen bei Würzburg, Deutschla","Hausen bei Würzburg  Deutschla","Hausen bei Würzburg  Deutschla",10.026991,49.9280109
"Montréal, Québec","Montréal, Québec","Montréal  Québec","Montréal  Québec",-73.567256,45.5016889
"Haiti","Haiti","Haiti","Haiti",-72.285215,18.971187
"Alberta, Canada","Alberta, Canada","Alberta  Canada","Alberta  Canada",-116.5765035,53.9332706
"Armenia","Armenia","Armenia","Armenia",45.038189,40.069099
